"YEAR","QUARTER","PRODUCTID","QUOTA"
2020,"01","RO-1001",75000
2020,"01","RO-1002",67000
2020,"01","RO-1003",93000
2020,"01","BX-1011",65000
2020,"01","BX-1012",91000
2020,"01","BX-1014",76000
2020,"01","BX-1015",73000
2020,"01","BX-1016",76000
2020,"01","CC-1021",91000
2020,"01","CC-1022",53000
2020,"01","CC-1023",51000
2020,"01","MB-1031",76000
2020,"01","MB-1033",72000
2020,"01","MB-1034",85000
2020,"01","RC-1051",79000
2020,"01","RC-1052",91000
2020,"01","RC-1053",71000
2020,"01","RC-1054",91000
2020,"01","RC-1055",53000
2020,"01","RC-1056",84000
2020,"01","RC-1057",92000
2020,"01","DB-1081",82000
2020,"01","DB-1082",98000
2020,"01","DB-1083",64000
2020,"01","EB-1131",60000
2020,"01","EB-1133",71000
2020,"01","EB-1134",58000
2020,"01","EB-1135",98000
2020,"01","EB-1136",92000
2020,"01","EB-1137",86000
2020,"01","CB-1161",94000
2020,"01","CB-1163",59000
2020,"01","HB-1171",60000
2020,"01","HB-1172",57000
2020,"01","HB-1174",82000
2020,"01","HB-1175",57000
2020,"01","HB-1176",87000
2020,"01","BX-1013",89000
2020,"01","MB-1032",76000
2020,"01","EB-1132",75000
2020,"01","CB-1162",82000
2020,"01","HB-1173",97000
2020,"02","RO-1001",93000
2020,"02","RO-1002",58000
2020,"02","RO-1003",73000
2020,"02","BX-1011",75000
2020,"02","BX-1012",85000
2020,"02","BX-1014",55000
2020,"02","BX-1015",92000
2020,"02","BX-1016",79000
2020,"02","CC-1021",88000
2020,"02","CC-1022",73000
2020,"02","CC-1023",89000
2020,"02","MB-1031",64000
2020,"02","MB-1033",51000
2020,"02","MB-1034",82000
2020,"02","RC-1051",69000
2020,"02","RC-1052",90000
2020,"02","RC-1053",64000
2020,"02","RC-1054",83000
2020,"02","RC-1055",69000
2020,"02","RC-1056",52000
2020,"02","RC-1057",91000
2020,"02","DB-1081",100000
2020,"02","DB-1082",92000
2020,"02","DB-1083",60000
2020,"02","EB-1131",82000
2020,"02","EB-1133",99000
2020,"02","EB-1134",77000
2020,"02","EB-1135",75000
2020,"02","EB-1136",82000
2020,"02","EB-1137",50000
2020,"02","CB-1161",56000
2020,"02","CB-1163",93000
2020,"02","HB-1171",51000
2020,"02","HB-1172",56000
2020,"02","HB-1174",96000
2020,"02","HB-1175",94000
2020,"02","HB-1176",74000
2020,"02","BX-1013",95000
2020,"02","MB-1032",67000
2020,"02","EB-1132",94000
2020,"02","CB-1162",84000
2020,"02","HB-1173",88000
2020,"03","RO-1001",84000
2020,"03","RO-1002",55000
2020,"03","RO-1003",67000
2020,"03","BX-1011",60000
2020,"03","BX-1012",76000
2020,"03","BX-1014",67000
2020,"03","BX-1015",89000
2020,"03","BX-1016",61000
2020,"03","CC-1021",99000
2020,"03","CC-1022",62000
2020,"03","CC-1023",76000
2020,"03","MB-1031",87000
2020,"03","MB-1033",73000
2020,"03","MB-1034",93000
2020,"03","RC-1051",56000
2020,"03","RC-1052",83000
2020,"03","RC-1053",58000
2020,"03","RC-1054",91000
2020,"03","RC-1055",98000
2020,"03","RC-1056",81000
2020,"03","RC-1057",72000
2020,"03","DB-1081",52000
2020,"03","DB-1082",70000
2020,"03","DB-1083",60000
2020,"03","EB-1131",88000
2020,"03","EB-1133",57000
2020,"03","EB-1134",78000
2020,"03","EB-1135",99000
2020,"03","EB-1136",75000
2020,"03","EB-1137",98000
2020,"03","CB-1161",66000
2020,"03","CB-1163",81000
2020,"03","HB-1171",51000
2020,"03","HB-1172",54000
2020,"03","HB-1174",56000
2020,"03","HB-1175",93000
2020,"03","HB-1176",63000
2020,"03","BX-1013",52000
2020,"03","MB-1032",62000
2020,"03","EB-1132",79000
2020,"03","CB-1162",84000
2020,"03","HB-1173",95000
2020,"04","RO-1001",77000
2020,"04","RO-1002",69000
2020,"04","RO-1003",84000
2020,"04","BX-1011",91000
2020,"04","BX-1012",94000
2020,"04","BX-1014",57000
2020,"04","BX-1015",65000
2020,"04","BX-1016",72000
2020,"04","CC-1021",99000
2020,"04","CC-1022",62000
2020,"04","CC-1023",75000
2020,"04","MB-1031",66000
2020,"04","MB-1033",93000
2020,"04","MB-1034",57000
2020,"04","RC-1051",95000
2020,"04","RC-1052",80000
2020,"04","RC-1053",74000
2020,"04","RC-1054",58000
2020,"04","RC-1055",91000
2020,"04","RC-1056",69000
2020,"04","RC-1057",71000
2020,"04","DB-1081",75000
2020,"04","DB-1082",61000
2020,"04","DB-1083",57000
2020,"04","EB-1131",58000
2020,"04","EB-1133",84000
2020,"04","EB-1134",89000
2020,"04","EB-1135",51000
2020,"04","EB-1136",57000
2020,"04","EB-1137",58000
2020,"04","CB-1161",52000
2020,"04","CB-1163",86000
2020,"04","HB-1171",97000
2020,"04","HB-1172",66000
2020,"04","HB-1174",83000
2020,"04","HB-1175",54000
2020,"04","HB-1176",87000
2020,"04","BX-1013",100000
2020,"04","MB-1032",66000
2020,"04","EB-1132",80000
2020,"04","CB-1162",82000
2020,"04","HB-1173",75000
